subSubName,mainMenuName,title,url,price,description
"област Монтана",Работа,"Набираме охранители",https://www.alo.bg/9086276,,"Набираме охранители за множество обекти в района на гр. София -Предлагаме добро заплащане -Работа по предварително утвърден график -Приятно и поддържано работно място -Трудов договор и включени ос.."
"област Монтана",Работа,"Ръководител с български език",https://www.alo.bg/9086913,,"Добър ден! Търсим отговорен супервайзер, който да наблюдава работния процес в нашите съоръжения. Ролята е сложна. Той няма да бъде просто някой, който контролира работата на другите. Супервайзор.."
"област Монтана",Работа,"Помощник във пункт за технически прегледи",https://www.alo.bg/9136556,,"”Автокомплекс Илинден” търси да назначи техник, на пункт за годишни технически прегледи на постоянен договор. Изисквания: -Шофьорска книжка, мин. кат.B -Добра комуникативност -Желание за дъл.."
"област Монтана",Работа,"Търси охранител",https://www.alo.bg/9159278,,"Публикувано от ”Бюро по труда”: [ ДБТ - Монтана ] Място на работата: Насeлено място към общ. Монтана, обл. Монтана Наименование на длъжността: 5414-1007 - Охранител Основни отговорности: охранителн.."
"област Монтана",Работа,"Търси медицински лаборант",https://www.alo.bg/7086742,,"Публикувано от ”Бюро по труда”: [ ДБТ - Монтана ] Място на работата: Насeлено място към общ. Монтана, обл. Монтана Наименование на длъжността: 3212-5012 - Медицински лаборант Основни отговорности: .."
"област Монтана",Работа,"Тракийска Баница Овча Купел",https://www.alo.bg/9158528,,"Баничарница от веригата Тракийска баница в подлеза на метростанция Мизия търси да назначи пекари и касиери на постоянен трудов договор и конкурентно за бранша възнаграждение"
"област Монтана",Работа,"Търси младши експерт",https://www.alo.bg/9156747,,"Публикувано от ”Бюро по труда”: [ ДБТ - Монтана ] Място на работата: Насeлено място към общ. Якимово, обл. Монтана Наименование на длъжността: 2422-5040 - Младши експерт Основни отговорности: Участ.."
"област Монтана",Работа,"Търси шлосер",https://www.alo.bg/9156698,,"Публикувано от ”Бюро по труда”: [ ДБТ - Монтана ] Място на работата: Насeлено място към общ. Монтана, обл. Монтана Наименование на длъжността: 7222-3011 - Шлосер Основни отговорности: Основни задъл.."
"област Монтана",Работа,"Търси личен асистент",https://www.alo.bg/9156622,,"Публикувано от ”Бюро по труда”: [ ДБТ - Монтана ] Място на работата: Насeлено място към общ. Монтана, обл. Монтана Наименование на длъжността: 5322-1002 - Личен асистент Основни отговорности: Орган.."
"област Монтана",Работа,"Търси шивач",https://www.alo.bg/7880205,,"Публикувано от ”Бюро по труда”: [ ДБТ - Берковица ] Място на работата: Насeлено място към общ. Берковица, обл. Монтана Наименование на длъжността: 7533-1014 - Шивач Основни отговорности: Осигурява .."
"област Монтана",Работа,"Търси фармацевт магистър",https://www.alo.bg/7104597,,"Публикувано от ”Бюро по труда”: [ ДБТ - Монтана ] Място на работата: Насeлено място към общ. Монтана, обл. Монтана Наименование на длъжността: 2262-7003 - Фармацевт магистър Основни отговорности: 1.."
"област Монтана",Работа,"Търси лекар, ортопедия и травматология",https://www.alo.bg/7086753,,"Публикувано от ”Бюро по труда”: [ ДБТ - Монтана ] Място на работата: Насeлено място към общ. Монтана, обл. Монтана Наименование на длъжността: 2212-7062 - Лекар, ортопедия и травматология Основни о.."
"област Монтана",Работа,"Търси лекар, педиатрия",https://www.alo.bg/7086750,,"Публикувано от ”Бюро по труда”: [ ДБТ - Монтана ] Място на работата: Насeлено място към общ. Монтана, обл. Монтана Наименование на длъжността: 2211-7005 - Лекар, педиатрия Основни отговорности: 1. .."
